,E.C,TDS,Cl,NO3 ,Na,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L
80,522,334.08,30,5.602685,19.47194868,64.0,14.586,219.9753289,0.570813969,2,-0.29308741
81,684,437.76,40,50.9335,45.93396045,72.0,14.586,239.9753289,1.289207307,2,-0.164866735
82,940,601.6,80,17.250955,51.24898723,72.0,43.758,359.9259868,1.174494127,3,-0.619505526
83,881,563.84,40,14.460685,65.56554923,88.0,19.448,299.9671053,1.645928827,3,1.064437024
84,639,408.96,50,15.169325,37.77247864,64.0,19.448,239.9671053,1.060160922,2,-0.289382777
85,685,438.4,20,8.63655,47.25617918,56.0,24.31,239.9588816,1.326362864,2,1.070687528
86,959,613.76,100,39.19665,65.10218026,80.0,34.034,339.9424342,1.535200161,3,-0.788220504
87,600,384.0,60,35.432,27.65815402,80.0,9.724,239.9835526,0.776255367,2,-1.362730335
88,1020,652.8,100,106.7389,52.25441718,80.0,48.62,399.9177632,1.136082382,3,-2.90019613
89,443,283.52,20,31.003,57.0,16.0,19.448,119.9671053,2.262642445,2,0.800657895
90,722,462.08,70,31.40563636,89.0,32.0,29.172,199.9506579,2.736533392,2,0.400986842
91,666,426.24,50,45.49790909,75.0,24.0,29.172,179.9506579,2.430841869,2,0.000986842
92,872,558.08,80,142.3319545,114.0,32.0,34.034,219.9424342,3.342123558,3,-0.998848684
93,352,225.28,20,20.73577273,44.0,16.0,14.586,99.97532895,1.913279506,2,0.400493421
94,2430,1555.2,400,221.45,129.4793928,48.0,199.342,939.6628289,1.8364825,0,-10.463001
95,1014,648.96,190,62.006,100.3156578,40.0,43.758,279.9259868,2.606869437,3,-2.355569765
96,940,601.6,120,86.3655,84.85990054,104.0,4.862,279.9917763,2.204966748,3,-1.36245409
97,2530,1619.2,380,243.595,168.6257531,184.0,106.964,899.8190789,2.444097167,0,-8.510919731
98,1092,698.88,80,12.4012,94.36825248,56.0,48.62,339.9177632,2.225415695,3,1.306381567
99,1435,918.4,150,66.435,125.7870809,24.0,92.378,439.84375,2.607708184,3,-0.391922015
100,1100,704.0,130,57.577,60.61068885,72.0,58.344,419.9013158,1.286020128,3,-2.519367062
101,1030,659.2,130,93.009,35.72279257,112.0,38.896,439.9342105,0.740497673,3,-4.163620195
102,1055,675.2,90,110.725,48.39248297,72.0,58.344,419.9013158,1.026777757,3,-2.652311667
103,695,444.8,70,27.4598,40.70985836,24.0,48.62,259.9177632,1.097877222,2,-0.963934346
104,1705,1091.2,220,35.432,164.0807686,56.0,87.516,499.8519737,3.190870214,3,-0.580641762
105,1725,1104.0,190,53.148,102.3019911,40.0,131.274,639.7779605,1.758496923,3,-2.454185429
106,1412,903.68,160,263.5255,115.8534108,112.0,43.758,459.9259868,2.348751193,3,-4.544346076
107,922,590.08,130,95.2235,103.5167455,32.0,38.896,239.9342105,2.905605748,3,-1.310201147
108,967,618.88,20,64.2205,22.00807446,32.0,87.516,439.8519737,0.456247963,3,-1.031802885
